timestamp,nodeId,mitigationType,details
1.1,5,rule_based_detection,high_frequency
1.2,5,rule_based_detection,high_frequency
1.3,5,rule_based_detection,high_frequency
1.4,5,rule_based_detection,high_frequency
1.5,5,rule_based_detection,high_frequency
1.6,5,rule_based_detection,high_frequency
1.7,5,rule_based_detection,high_frequency
1.8,5,rule_based_detection,high_frequency
1.9,5,rule_based_detection,high_frequency
2,5,rule_based_detection,high_frequency
2.1,5,rule_based_detection,high_frequency
2.2,5,rule_based_detection,high_frequency
2.3,5,rule_based_detection,high_frequency
2.4,5,rule_based_detection,high_frequency
2.5,5,rule_based_detection,high_frequency
2.6,5,rule_based_detection,high_frequency
2.7,5,rule_based_detection,high_frequency
2.8,5,rule_based_detection,high_frequency
2.9,5,rule_based_detection,high_frequency
3,5,rule_based_detection,high_frequency
3.1,5,rule_based_detection,high_frequency
3.2,5,rule_based_detection,high_frequency
3.3,5,rule_based_detection,high_frequency
3.4,5,rule_based_detection,high_frequency
3.5,5,rule_based_detection,high_frequency
3.6,5,rule_based_detection,high_frequency
3.7,5,rule_based_detection,high_frequency
3.8,5,rule_based_detection,high_frequency
3.9,5,rule_based_detection,high_frequency
4,5,rule_based_detection,high_frequency
4.1,5,rule_based_detection,high_frequency
4.2,5,rule_based_detection,high_frequency
4.3,5,rule_based_detection,high_frequency
4.4,5,rule_based_detection,high_frequency
4.5,5,rule_based_detection,high_frequency
4.6,5,rule_based_detection,high_frequency
4.7,5,rule_based_detection,high_frequency
4.8,5,rule_based_detection,high_frequency
4.9,5,rule_based_detection,high_frequency
5,5,rule_based_detection,high_frequency
5.1,5,rule_based_detection,high_frequency
5.2,5,rule_based_detection,high_frequency
5.3,5,rule_based_detection,high_frequency
5.4,5,rule_based_detection,high_frequency
5.5,5,rule_based_detection,high_frequency
5.6,5,rule_based_detection,high_frequency
5.7,5,rule_based_detection,high_frequency
5.8,5,rule_based_detection,high_frequency
5.9,5,rule_based_detection,high_frequency
6,5,rule_based_detection,high_frequency
6.1,5,rule_based_detection,high_frequency
6.2,5,rule_based_detection,high_frequency
6.3,5,rule_based_detection,high_frequency
6.4,5,rule_based_detection,high_frequency
6.5,5,rule_based_detection,high_frequency
6.6,5,rule_based_detection,high_frequency
6.7,5,rule_based_detection,high_frequency
6.8,5,rule_based_detection,high_frequency
6.9,5,rule_based_detection,high_frequency
7,5,rule_based_detection,high_frequency
7.1,5,rule_based_detection,high_frequency
7.2,5,rule_based_detection,high_frequency
7.3,5,rule_based_detection,high_frequency
7.4,5,rule_based_detection,high_frequency
7.5,5,rule_based_detection,high_frequency
7.6,5,rule_based_detection,high_frequency
7.7,5,rule_based_detection,high_frequency
7.8,5,rule_based_detection,high_frequency
7.9,5,rule_based_detection,high_frequency
8,5,rule_based_detection,high_frequency
8.1,5,rule_based_detection,high_frequency
8.2,5,rule_based_detection,high_frequency
8.3,5,rule_based_detection,high_frequency
8.4,5,rule_based_detection,high_frequency
8.5,5,rule_based_detection,high_frequency
8.6,5,rule_based_detection,high_frequency
8.7,5,rule_based_detection,high_frequency
8.8,5,rule_based_detection,high_frequency
8.9,5,rule_based_detection,high_frequency
9,5,rule_based_detection,high_frequency
9.1,5,rule_based_detection,high_frequency
9.2,5,rule_based_detection,high_frequency
9.3,5,rule_based_detection,high_frequency
9.4,5,rule_based_detection,high_frequency
9.5,5,rule_based_detection,high_frequency
9.6,5,rule_based_detection,high_frequency
9.7,5,rule_based_detection,high_frequency
9.8,5,rule_based_detection,high_frequency
9.9,5,rule_based_detection,high_frequency
